공고번호,날짜,기초가,예가,투찰가
9248308,2025.04.01,201553000,201574475,176885045
9248310,2025.04.01,776754000,776608539,631112625
9248341,2025.04.01,81961000,81384851,71420312
9248367,2025.04.01,26587000,26552098,23366400
9248411,2025.04.01,84914000,85023782,74605000
9248412,2025.04.01,27884000,28046023,24697600
9247958,2025.04.02,798798000,793308463,681209000
9247959,2025.04.02,952952000,952519819,815207000
9248445,2025.04.03,211720000,213625655,0
9248074,2025.04.04,295520666,295623958,259476000
9248462,2025.04.04,206433000,205880686,180733000
9247949,2025.04.07,379444000,375516123,331500000
9248036,2025.04.07,263120000,261621932,227490000
9248503,2025.04.07,35876380,35991143,31677990
9248504,2025.04.07,87788573,88390177,77786500
9248470,2025.04.08,172823000,172517316,151787600
9248160,2025.04.09,1492000000,1493320097,1202777000
9248485,2025.04.09,84585300,84915325,74509430
9248532,2025.04.09,631620000,629724056,552707505
9248557,2025.04.10,24755000,24842404,21877181
9248543,2025.04.11,62700000,62862261,55165000
9248038,2025.04.14,889009000,890969459,769180000
9248040,2025.04.14,827662000,826490898,716397000
9248049,2025.04.14,1201871000,1204045227,977000000
9248075,2025.04.14,317779000,316461515,274620000
9248193,2025.04.14,1463473000,1463149299,1194160000
9248195,2025.04.14,807048000,806873739,697758000
9248196,2025.04.14,312796000,310200745,274362000
9248540,2025.04.14,238592000,238862366,209605458
9248550,2025.04.14,64251000,64169058,56318691
9248574,2025.04.14,49730000,49516609,43453935
9248584,2025.04.14,113245000,113795626,99856200
9248586,2025.04.14,72956000,73467514,64657000
9248187,2025.04.15,1285230100,1282882229,1087000000
9248545,2025.04.15,83732000,83991479,73955321
9248551,2025.04.15,194767000,196911094,172884331
9248581,2025.04.15,398545000,397925800,350162270
9248177,2025.04.16,1420549000,1420935097,1164300000
9248572,2025.04.16,147152000,148012925,129897500
9248665,2025.04.16,92367000,92747413,81619390
9248650,2025.04.17,333868000,334988602,294775400
9248671,2025.04.17,89866000,90309945,79247000
9248218,2025.04.18,1143736000,1142327818,962510000
9248606,2025.04.18,124060000,122749010,108026853
9248130,2025.04.21,606587000,612917404,527521503
9248161,2025.04.21,592515000,595251617,522739900
9248179,2025.04.21,1076396000,1071544822,942900000
9248217,2025.04.21,1931451000,1920255962,1601160000
9248647,2025.04.21,95135000,95106672,83476681
9248691,2025.04.21,79700000,80001738,70198370
9248708,2025.04.21,204958000,204982081,180079500
9248225,2025.04.22,1827235000,1816959081,1491000000
9248743,2025.04.22,70965000,71337205,62824193
9248746,2025.04.22,80971000,80801203,71119190
9248752,2025.04.22,35222000,35449260,31204120
9248753,2025.04.22,35222000,35237609,31029000
9248762,2025.04.22,105511000,105345463,92441664
9248679,2025.04.23,44536800,44473001,39112856
9248737,2025.04.23,98721000,98708739,86893500
9248738,2025.04.23,75119000,74355745,65342161
9248774,2025.04.23,74250000,74289575,65407000
9248371,2025.04.24,590240000,589323317,504420000
9248529,2025.04.24,1557557000,1559686138,947983620
9248718,2025.04.24,46974173,47104734,41500000
9248754,2025.04.24,227854000,229018807,200998000
9248763,2025.04.24,85547000,86017653,75666300
9248787,2025.04.24,91751000,92261218,81544000
9248821,2025.04.24,55276000,55542326,0
9248394,2025.04.25,784025000,786290855,691900000
9248395,2025.04.25,1128080000,1123158076,949960000
9248396,2025.04.25,700724000,703230866,613000000
9248397,2025.04.25,1644219000,1638944680,1358700000
9248749,2025.04.25,184300000,186208673,160186400
9248785,2025.04.25,131508000,131897231,116066230
9248819,2025.04.25,28207000,28185281,24806100
9248820,2025.04.25,48455000,48548494,42724000
9248399,2025.04.28,1000028000,996486785,876040000
9248409,2025.04.28,92224000,92047051,79251000
9248414,2025.04.28,585827000,588756124,511000000
9248442,2025.04.28,282665000,281308890,243498000
9248461,2025.04.28,1019830000,1017731628,874081700
9248846,2025.04.29,30129000,29993480,26402500
9248871,2025.04.29,41948349,42154512,37233300
9248874,2025.04.29,21500292,21452899,18980650
9248890,2025.04.29,128690000,129048187,113244900
9248410,2025.04.30,885358000,887136946,766777000
9248897,2025.04.30,61773000,61860718,54605000
9248838,2025.05.07,198213000,196996200,172858040
9248849,2025.05.07,158433000,158201057,138878405
9248894,2025.05.07,43137000,43498526,38279170
9248932,2025.05.07,45356000,45688485,40210396
9248934,2025.05.07,87400000,87538592,77068440
9248467,2025.05.08,437416000,437217250,379986693
9248478,2025.05.08,1423664000,1416344599,1161497480
9248501,2025.05.08,1163529000,1170457364,974640000
9248525,2025.05.08,776933000,775733186,684183500
9248526,2025.05.08,2725357000,2735827173,2277900000
9248527,2025.05.08,799160000,798395171,702900000
9248528,2025.05.08,2377300000,2381277235,1934943000
9248542,2025.05.08,343020000,346012473,302075501
9248905,2025.05.08,41943000,41985210,36974060
9248938,2025.05.08,53847200,54102325,47722400
9248939,2025.05.08,20297510,20240599,17851090
9248948,2025.05.08,99781000,100188790,88291500
9248982,2025.05.08,177760000,177005945,155523200
9248575,2025.05.09,2236116000,2233335332,1899700000
9248937,2025.05.09,165412000,166003773,145969000
9248984,2025.05.09,36770000,36682024,32293900
9248969,2025.05.12,53234000,53628686,47086101
9248995,2025.05.12,164960000,165137887,145341350
9249052,2025.05.13,186803000,185145507,162476400
9248588,2025.05.14,820263000,827622326,711600000
9248589,2025.05.14,952408000,950930398,830700000
9248630,2025.05.15,1484076000,1492263508,1197160000
9249036,2025.05.15,98343980,97674628,86066700
9249072,2025.05.15,39014000,38809391,34152693
9249073,2025.05.15,58745000,58865723,51801990
9249065,2025.05.16,50916894,51140456,44873608
9248699,2025.05.19,1572604000,1586392812,1295500000
9248666,2025.05.20,6573000000,6571639598,5258000000
9249107,2025.05.20,54953000,54882317,48298724
9249136,2025.05.20,83113000,83024556,73067900
9249162,2025.05.20,99109000,98791840,86938000
9248692,2025.05.21,1144038000,1145067650,941990000
9248701,2025.05.21,528542000,534087319,461570000
9248704,2025.05.21,589944000,590935133,515350000
9248719,2025.05.21,241685000,240853172,213290000
9248788,2025.05.21,2071004000,2053689939,1685360000
9248823,2025.05.21,1984936000,1982652355,1626700000
9248707,2025.05.22,942556000,945214469,814840000
9249102,2025.05.22,10634000,10641143,9382570
9249133,2025.05.22,219916000,220291767,193561000
9249170,2025.05.22,95700000,94872551,83894050
9249194,2025.05.22,32100000,31974046,28064750
9249211,2025.05.22,106502000,105817112,93318800
9248796,2025.05.23,1749205000,1763678497,1460000000
9249139,2025.05.23,236477000,237583483,208593500
9249173,2025.05.23,47175000,47005867,41315460
9249189,2025.05.23,106337000,106444109,93671260
9249207,2025.05.23,73037000,72712822,64015500
9248817,2025.05.26,372689000,372068055,323819560
9248923,2025.05.26,311818000,312563228,271936000
9248927,2025.05.26,1691580000,1700770121,1682000000
9249190,2025.05.26,213708000,214346893,188116000
9249199,2025.05.26,128436000,129721812,114153761
9249235,2025.05.26,119592000,118812156,104556963
9249256,2025.05.26,126412000,127601411,112285060
9249103,2025.05.27,45117270,45350638,39939275
9249247,2025.05.28,252496074,252464607,221543801
9249276,2025.05.29,76241000,76350279,67005910
9249288,2025.05.29,28320000,28617273,25202200
9249293,2025.05.29,196374000,196891191,172905100
9248977,2025.05.30,591990000,591552252,512200000
9248989,2025.05.30,1613510000,1621788636,1613000000
9249299,2025.05.30,66209000,66042731,57986200
9249277,2025.06.02,54169000,54028501,47546200
9249192,2025.06.04,157864000,156858785,137662975
9249362,2025.06.05,89304000,89641888,78682560
9249413,2025.06.05,464768000,462583111,411528825
9249427,2025.06.05,41954000,42131970,36986384
9249428,2025.06.09,452048000,452706596,398480884
9249026,2025.06.10,204584000,203161874,177220000
9249090,2025.06.11,465846000,465858422,405378000
9249094,2025.06.11,2167342000,2161520209,1736301023
9249474,2025.06.12,157537000,158519777,139095337
9249096,2025.06.13,478482000,480531576,417770000
9249537,2025.06.16,43071000,43215990,37950000
9249538,2025.06.16,179812297,181914599,0
9249546,2025.06.16,675119000,671152911,591059560
9249444,2025.06.17,42878000,43233705,37956300
9249543,2025.06.17,123433000,123000538,107969500
9249559,2025.06.17,103277000,103111444,90490500
9249168,2025.06.18,368193000,369757659,320827000
9249592,2025.06.18,33843000,33921146,29852028
9249605,2025.06.20,906780000,917664518,0
